date,interest
2011-01-01,2.93
2011-02-01,3.13
2011-03-01,3.35
2011-04-01,3.4
2011-05-01,3.46
2011-06-01,3.53
2011-07-01,3.59
2011-08-01,3.59
2011-09-01,3.58
2011-10-01,3.58
2011-11-01,3.56
2011-12-01,3.55
2012-01-01,3.55
2012-02-01,3.53
2012-03-01,3.54
2012-04-01,3.54
2012-05-01,3.54
2012-06-01,3.54
2012-07-01,3.34
2012-08-01,3.19
2012-09-01,3.14
2012-10-01,2.93
2012-11-01,2.85
2012-12-01,2.88
2013-01-01,2.86
2013-02-01,2.83
2013-03-01,2.81
2013-04-01,2.8
2013-05-01,2.72
2013-06-01,2.69
2013-07-01,2.68
2013-08-01,2.66
2013-09-01,2.66
2013-10-01,2.66
2013-11-01,2.65
2013-12-01,2.65
2014-01-01,2.65
2014-02-01,2.65
2014-03-01,2.65
2014-04-01,2.65
2014-05-01,2.65
2014-06-01,2.65
2014-07-01,2.65
2014-08-01,2.52
2014-09-01,2.35
2014-10-01,2.21
2014-11-01,2.14
2014-12-01,2.13
2015-01-01,2.13
2015-02-01,2.12
2015-03-01,1.95
2015-04-01,1.81
2015-05-01,1.8
2015-06-01,1.7
2015-07-01,1.65
2015-08-01,1.64
2015-09-01,1.6
2015-10-01,1.58
2015-11-01,1.59
2015-12-01,1.67
2016-01-01,1.67
2016-02-01,1.64
2016-03-01,1.63
2016-04-01,1.61
2016-05-01,1.58
2016-06-01,1.43
2016-07-01,1.36
2016-08-01,1.35
2016-09-01,1.34
2016-10-01,1.35
2016-11-01,1.42
2016-12-01,1.54
2017-01-01,1.5
2017-02-01,1.49
2017-03-01,1.48
2017-04-01,1.43
2017-05-01,1.39
2017-06-01,1.38
2017-07-01,1.39
2017-08-01,1.39
2017-09-01,1.38
2017-10-01,1.38
2017-11-01,1.45
2017-12-01,1.66
2018-01-01,1.66
2018-02-01,1.65
2018-03-01,1.65
2018-04-01,1.65
2018-05-01,1.65
2018-06-01,1.65
2018-07-01,1.65
2018-08-01,1.65
2018-09-01,1.65
2018-10-01,1.68
2018-11-01,1.71
2018-12-01,1.91
2019-01-01,1.87
2019-02-01,1.87
2019-03-01,1.9
2019-04-01,1.86
2019-05-01,1.84
2019-06-01,1.8
2019-07-01,1.68
2019-08-01,1.49
2019-09-01,1.54
2019-10-01,1.46
2019-11-01,1.52
2019-12-01,1.53
2020-01-01,1.47
2020-02-01,1.42
2020-03-01,1.23
2020-04-01,1.1
2020-05-01,1.02
2020-06-01,0.79
2020-07-01,0.79
2020-08-01,0.68
2020-09-01,0.63
2020-10-01,0.63
2020-11-01,0.66
2020-12-01,0.66
