Date,SE,KAKAO,KT,KOREA GAS,NAVER
2010-12-01,18980,15440,64700,47035.91406,55647.75391
2011-01-01,19620,16120,59100,40635.14844,49028.85938
2011-02-01,18460,19920,57300,35737.59766,46454.84375
2011-03-01,18640,19600,57100,35495.14453,46945.13281
2011-04-01,17860,21960,63400,33119.10156,52093.16406
2011-05-01,18040,20960,63300,36028.53906,47067.70313
2011-06-01,16520,22200,66400,35883.06641,46332.27344
2011-07-01,16880,26400,65600,34573.82031,51480.30078
2011-08-01,14880,25400,68800,33119.10156,50990.01172
2011-09-01,16800,28680,73500,30112.68164,55647.75391
2011-10-01,19360,27180,69500,36610.42578,57118.62109
2011-11-01,20080,29200,77400,36901.37109,60795.78516
2011-12-01,21160,24000,81400,40441.1875,51725.44531
2012-01-01,22140,26380,78600,43059.67969,51970.58984
2012-02-01,24120,22540,73200,37725.71094,57241.19141
2012-03-01,25500,23820,80400,41847.41406,63737.51563
2012-04-01,27800,21200,77600,42817.22656,62756.94141
2012-05-01,24220,20220,78600,40101.75391,59447.49219
2012-06-01,24020,20460,81200,39277.41016,61286.07422
2012-07-01,26180,22120,83300,43059.67969,67414.67969
2012-08-01,24660,22660,85900,55279.32031,63614.94531
2012-09-01,26920,22700,84700,69632.54688,71214.41406
2012-10-01,26200,18740,83100,74287.64844,61898.93359
2012-11-01,28120,16980,85700,76033.3125,61776.36328
2012-12-01,30440,18220,80800,72832.92969,55647.75391
2013-01-01,28960,20420,75900,64686.50391,59079.77344
2013-02-01,30880,19120,77200,69341.60156,64472.94922
2013-03-01,30540,18340,76600,69050.65625,67904.96875
2013-04-01,30400,18000,79300,68565.75,72562.71094
2013-05-01,30760,17060,79600,53921.58203,74769.00781
2013-06-01,26840,15780,74200,51206.10938,71214.41406
2013-07-01,25600,17540,75700,60516.30859,105051.9297
2013-08-01,27360,17000,72600,53824.60156,89300
2013-09-01,27340,18540,77000,57000,111400
2013-10-01,29300,17700,77500,63900,119400
2013-11-01,29880,16980,78500,65600,138400
2013-12-01,27440,16800,74500,66600,144800
2014-01-01,25600,16000,75700,66600,135000
2014-02-01,26980,14000,78200,69400,163400
2014-03-01,26860,15640,80000,62200,154800
2014-04-01,26860,14980,82800,61800,147600
2014-05-01,28860,19560,83000,58300,151600
2014-06-01,26440,23400,89500,55200,167000
2014-07-01,26860,26340,99600,61600,149800
2014-08-01,24680,33020,94900,56400,153600
2014-09-01,23680,31540,94500,55000,161400
2014-10-01,24880,29200,95000,50100,150800
2014-11-01,25740,29340,96900,57500,151200
2014-12-01,26540,24720,76100,49550,142400
2015-01-01,27300,30540,80200,45200,143200
2015-02-01,27140,26620,80000,42400,132200
2015-03-01,28820,23080,88700,40500,134200
2015-04-01,28200,21580,95100,46350,130000
2015-05-01,26140,23460,96400,52000,121800
2015-06-01,25360,25240,94900,43200,126800
2015-07-01,23700,24180,110000,42350,104600
2015-08-01,21780,26980,110500,40250,99100
2015-09-01,22680,25180,111500,39750,102600
2015-10-01,27440,22720,114000,42600,120000
2015-11-01,25680,24120,107000,38350,126200
2015-12-01,25200,23160,104500,36850,131600
2016-01-01,23000,21860,103500,37350,125600
2016-02-01,23560,18980,106500,38400,114400
2016-03-01,26240,19840,110000,38350,127400
2016-04-01,24900,20100,123000,41450,135400
2016-05-01,25840,20560,127500,39750,144000
2016-06-01,28500,18620,136500,39750,142000
2016-07-01,30780,18180,121000,42300,142000
2016-08-01,32400,16260,117000,42450,169000
2016-09-01,31960,16360,125000,44200,176600
2016-10-01,32780,15280,113000,46350,171400
2016-11-01,34920,15540,105000,42850,159600
2016-12-01,36040,15400,101000,48450,155000
2017-01-01,39460,15540,100500,46300,151600
2017-02-01,38440,17080,102500,48950,155200
2017-03-01,41200,16620,97500,44950,171000
2017-04-01,44620,18080,101500,46600,160000
2017-05-01,44700,19760,111000,50800,169000
2017-06-01,47540,20300,117000,53200,167600
2017-07-01,48200,24000,114000,50200,160600
2017-08-01,46320,24600,114500,45300,151000
2017-09-01,51280,28800,105500,42100,149000
2017-10-01,55080,28800,106000,40850,178800
2017-11-01,50800,27300,122000,44250,160000
2017-12-01,50960,27400,115500,42550,174000
2018-01-01,49900,28000,106500,49350,182000
2018-02-01,47060,25600,99800,45900,160600
2018-03-01,49220,26400,100000,48450,158400
2018-04-01,53000,22200,97800,54800,143200
2018-05-01,50700,20700,96000,60300,133800
2018-06-01,46650,22900,107000,64200,152600
2018-07-01,46250,22500,110500,58300,143200
2018-08-01,48450,25000,101000,52600,150400
2018-09-01,46450,23800,104000,60700,143200
2018-10-01,42400,18320,101500,52100,114500
2018-11-01,41850,22500,104000,51000,126500
2018-12-01,38700,20600,101500,48200,122000
2019-01-01,46150,19860,99100,54100,136000
2019-02-01,45100,20700,105500,50100,133000
2019-03-01,44650,20700,103500,45100,124000
2019-04-01,45850,24000,102000,46150,119500
2019-05-01,42500,24900,101000,41300,111500
2019-06-01,47000,26300,98500,42200,114000
2019-07-01,45350,25400,96300,42750,138000
2019-08-01,44000,26900,102000,39050,146500
2019-09-01,49050,27100,105500,39600,157000
2019-10-01,50400,28300,100000,39300,164000
2019-11-01,50300,31100,97800,37400,172000
2019-12-01,55800,30700,93800,37850,186500
2020-01-01,56400,31800,95100,32500,179500
2020-02-01,54200,34400,84700,28100,174000
2020-03-01,47750,31100,74700,21500,170000
2020-04-01,50000,36800,81100,26950,197500
2020-05-01,50700,52700,83900,29850,226000
2020-06-01,52800,53500,78200,26200,267000
2020-07-01,57900,68700,80900,25350,301000
2020-08-01,54000,81400,83100,23600,322500
2020-09-01,58200,72900,82400,24650,296500
2020-10-01,56600,66000,81000,27250,290000
2020-11-01,66700,73600,82500,28350,277500
2020-12-01,81000,77900,83100,30900,292500
